iter	MultiClass
0	0.6648708087
1	0.6454494279
2	0.6209052874
3	0.5987743314
4	0.5821678133
5	0.5654079377
6	0.5529735638
7	0.5428521073
8	0.5289337427
9	0.5168229385
10	0.5085910616
11	0.5002058689
12	0.4931726017
13	0.4849767448
14	0.4777512742
15	0.4709918048
16	0.4664381434
17	0.4594649076
18	0.4537347614
19	0.450782243
20	0.4477121452
21	0.4423915353
22	0.437630551
23	0.4350932435
24	0.4313038435
25	0.426659536
26	0.4217518836
27	0.4178830062
28	0.4158664888
29	0.4134865376
30	0.4109413088
31	0.4085494076
32	0.40676379
33	0.4054346096
34	0.4046209193
35	0.4032884265
36	0.4007292718
37	0.3991162974
38	0.3984838295
39	0.3970145295
40	0.394212543
41	0.3923078856
42	0.3897568683
43	0.3888141992
44	0.3868111187
45	0.3858560633
46	0.3837711921
47	0.3823640867
48	0.3794766116
49	0.3788607212
50	0.3775825628
51	0.3762035947
52	0.3757819708
53	0.3749928701
54	0.3732766924
55	0.3719392464
56	0.3698134954
57	0.3689746736
58	0.3661350805
59	0.3648183153
60	0.3638334458
61	0.3630493696
62	0.3611757087
63	0.3603601541
64	0.3592030093
65	0.3582153379
66	0.3572412751
67	0.3568227045
68	0.3538163318
69	0.3531177321
70	0.35174064
71	0.3510055627
72	0.3496524582
73	0.3489995076
74	0.3483276225
75	0.3467843994
76	0.3459768081
77	0.3456629851
78	0.3443820282
79	0.3441078868
80	0.3430939927
81	0.3421855454
82	0.3414778053
83	0.3408338524
84	0.3399877445
85	0.3393018018
86	0.3384377398
87	0.336843841
88	0.3358935204
89	0.3337099401
90	0.3332708057
91	0.3330399775
92	0.3322157668
93	0.330895243
94	0.3295727302
95	0.3277035208
96	0.3259586613
97	0.3248719775
98	0.3240822467
99	0.3225689759
100	0.3210638626
101	0.318951407
102	0.3178725719
103	0.3166989999
104	0.3158738738
105	0.3147830717
106	0.313266916
107	0.3125887516
108	0.3119793566
109	0.3103927123
110	0.3098654804
111	0.3087697037
112	0.3079169852
113	0.3074602519
114	0.3067587214
115	0.3064472469
116	0.3057172436
117	0.3039345908
118	0.3035073265
119	0.3029156604
120	0.3014112453
121	0.2989427777
122	0.2985916298
123	0.297350961
124	0.2955158663
125	0.2951236992
126	0.2945125127
127	0.2934381958
128	0.2930222581
129	0.2922275753
130	0.2903565931
131	0.2900048312
132	0.2892262986
133	0.2882612063
134	0.2876589342
135	0.2866074721
136	0.2860013205
137	0.2855038343
138	0.2842679728
139	0.2831429942
140	0.2820770825
141	0.2811987104
142	0.2807450159
143	0.2791917651
144	0.2777442168
145	0.2760137781
146	0.2748236555
147	0.2736427797
148	0.2718855152
149	0.2708701033
150	0.2706648975
151	0.270555334
152	0.2691666325
153	0.2674088741
154	0.2668219249
155	0.266354889
156	0.2659057488
157	0.2653996409
158	0.2642922891
159	0.264081326
160	0.263746403
161	0.2633025343
162	0.2631000844
163	0.2623416048
164	0.2616425989
165	0.2611812121
166	0.2606995322
167	0.2605280423
168	0.2597982163
169	0.2590344772
170	0.2585025364
171	0.2581561926
172	0.2575942343
173	0.2567240786
174	0.2564251425
175	0.2560872306
176	0.2543480317
177	0.2538153344
178	0.2533540726
179	0.2527484498
180	0.2519092675
181	0.250886347
182	0.2506368322
183	0.2500481097
184	0.2496379094
185	0.2492232955
186	0.2487057637
187	0.248224686
188	0.2473375212
189	0.2467297737
190	0.2463390262
191	0.2458727081
192	0.2454879618
193	0.2450516378
194	0.2438037983
195	0.2426784604
196	0.241968588
197	0.2408070951
198	0.240407265
199	0.2401524597
200	0.2400415556
201	0.2396888399
202	0.2385973705
203	0.2375054381
204	0.2372126411
205	0.2367027273
206	0.2359404008
207	0.2356402537
208	0.2348786489
209	0.2342707928
210	0.2339968921
211	0.2338799927
212	0.2333325198
213	0.2327399203
214	0.2316348125
215	0.2312592657
216	0.2310085961
217	0.2307194542
218	0.2300722377
219	0.2299457002
220	0.2287939542
221	0.2285399453
222	0.2283602551
223	0.2273120054
224	0.226870926
225	0.2264509277
226	0.2260852208
227	0.2256869669
228	0.2251603594
229	0.2243087916
230	0.2241378253
231	0.2231800292
232	0.22307609
233	0.2221545214
234	0.2220313398
235	0.2217657321
236	0.2212418525
237	0.2210461042
238	0.2197043432
239	0.2194531945
240	0.2187986368
241	0.2185815078
242	0.2180944466
243	0.2177504176
244	0.2172862958
245	0.2169533263
246	0.2167902466
247	0.216187007
248	0.2159679975
249	0.2158486484
250	0.215175722
251	0.2148913906
252	0.2140774116
253	0.2137272426
254	0.2134060851
255	0.2131215572
256	0.2128568178
257	0.2123437309
258	0.2122061984
259	0.2115929804
260	0.2112174658
261	0.2108527806
262	0.2103125195
263	0.209720055
264	0.2085357243
265	0.2078344445
266	0.2066198655
267	0.2062203885
268	0.2060779613
269	0.2053086058
270	0.2046448626
271	0.2045218995
272	0.204195838
273	0.2039599884
274	0.2035491466
275	0.2025784203
276	0.2018522759
277	0.2017064589
278	0.2013502294
279	0.2009604762
280	0.200680742
281	0.1999129037
282	0.199106548
283	0.1988722546
284	0.1982564042
285	0.1978996239
286	0.1972128256
287	0.1963453406
288	0.1960323323
289	0.1958311723
290	0.1954796258
291	0.1953578355
292	0.1952365875
293	0.1946724903
294	0.1939999696
295	0.1930217404
296	0.1929235196
297	0.1923268464
298	0.1915685299
299	0.1910593452
300	0.1907315045
301	0.1904473225
302	0.1899171585
303	0.1894797469
304	0.189244304
305	0.188579421
306	0.1880865209
307	0.1879304177
308	0.1874176731
309	0.1869643022
310	0.1862702619
311	0.1855580548
312	0.1850997903
313	0.1845445175
314	0.1842001692
315	0.1836714561
316	0.1833964997
317	0.1825357215
318	0.1821863479
319	0.1819172522
320	0.1814958628
321	0.1812041461
322	0.1807709194
323	0.1803321282
324	0.1800725071
325	0.1799308145
326	0.1795814783
327	0.1791367187
328	0.1789246904
329	0.1785068393
330	0.1784059748
331	0.1778235412
332	0.1775151883
333	0.1771557562
334	0.1768117598
335	0.176515063
336	0.1760381236
337	0.1758759661
338	0.1757119935
339	0.175111973
340	0.1749853083
341	0.1745331395
342	0.1741997489
343	0.17345689
344	0.1727245783
345	0.1723629845
346	0.1719359153
347	0.1715325787
348	0.1712405308
349	0.1708263307
350	0.1703936126
351	0.1699956355
352	0.1698605507
353	0.1696439975
354	0.1693472649
355	0.1689718117
356	0.1685840897
357	0.1682430544
358	0.1679537051
359	0.1676444674
360	0.1668072956
361	0.1664289994
362	0.1655905402
363	0.1654579362
364	0.1652019051
365	0.1646937274
366	0.1645970816
367	0.1644436887
368	0.1638901548
369	0.1636871436
370	0.1634382018
371	0.1632563401
372	0.1631136996
373	0.1628186833
374	0.1627361557
375	0.1625734315
376	0.1623357394
377	0.1621639589
378	0.1618729127
379	0.1617712796
380	0.1616251445
381	0.1615625309
382	0.1612322912
383	0.1609605388
384	0.1607804116
385	0.1600615025
386	0.1599281804
387	0.1595088621
388	0.1589685179
389	0.1584887744
390	0.1582706323
391	0.1578186808
392	0.1576544987
393	0.1574536052
394	0.1568520351
395	0.1561542697
396	0.1557204992
397	0.1547913485
398	0.1544069503
399	0.1532522116
400	0.1530907601
401	0.152543775
402	0.1523156169
403	0.1522282235
404	0.1516480155
405	0.1514852063
406	0.1514283129
407	0.1511612722
408	0.150780678
409	0.1505415054
410	0.1501515815
411	0.1499042286
412	0.1497863124
413	0.1494041415
414	0.1489120294
415	0.1488329603
416	0.1485213749
417	0.1482851559
418	0.1480614829
419	0.1478142882
420	0.1471142113
421	0.1470004041
422	0.1467689427
423	0.1463111098
424	0.1460872819
425	0.1456609882
426	0.1454446702
427	0.1450264277
428	0.1449498676
429	0.1442220244
430	0.1438831238
431	0.1433679349
432	0.1431612039
433	0.1427856307
434	0.142304831
435	0.1420179203
436	0.1419422473
437	0.141786802
438	0.1417407559
439	0.14119409
440	0.1410026532
441	0.1406604963
442	0.1402334472
443	0.1400382844
444	0.1399326206
445	0.1394793248
446	0.1390932123
447	0.1386388188
448	0.1382369648
449	0.1378645925
450	0.1376696648
451	0.1375255685
452	0.1373518423
453	0.1371657512
454	0.1366447357
455	0.1363951777
456	0.1362271726
457	0.1360043582
458	0.1357532584
